inserttime,MonitorAddress,每GURL量
2021-01-25 03:27:48+00:00,广东广州南方基地3.1栋203机房,1030515.4204660588
2021-01-25 03:30:09+00:00,广东广州南方基地3.1栋203机房,1056096.524590164
2021-01-25 03:35:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 03:36:14+00:00,广东广州南方基地3.1栋203机房,1034623.6069600818
2021-01-25 03:37:37+00:00,广东广州南方基地3.1栋203机房,1042225.6124031008
2021-01-25 03:37:48+00:00,广东广州南方基地3.1栋203机房,1026334.3656154061
2021-01-25 03:40:09+00:00,广东广州南方基地3.1栋203机房,1054699.8842580302
2021-01-25 03:45:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 03:46:14+00:00,广东广州南方基地3.1栋203机房,1063772.7536231885
2021-01-25 03:47:37+00:00,广东广州南方基地3.1栋203机房,1089987.3388590931
2021-01-25 03:47:48+00:00,广东广州南方基地3.1栋203机房,1024107.2373363688
2021-01-25 03:50:09+00:00,广东广州南方基地3.1栋203机房,1073612.224719101
2021-01-25 03:55:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 03:56:14+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 03:57:37+00:00,广东广州南方基地3.1栋203机房,1037825.4083520881
2021-01-25 03:57:48+00:00,广东广州南方基地3.1栋203机房,1032742.6556259133
2021-01-25 04:00:09+00:00,广东广州南方基地3.1栋203机房,1071537.5182481753
2021-01-25 04:05:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 04:06:14+00:00,广东广州南方基地3.1栋203机房,1023854.3280719281
2021-01-25 04:07:37+00:00,广东广州南方基地3.1栋203机房,1058943.7817933855
2021-01-25 04:07:48+00:00,广东广州南方基地3.1栋203机房,1033379.2463768116
2021-01-25 04:10:09+00:00,广东广州南方基地3.1栋203机房,1050558.7206915182
2021-01-25 04:15:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 04:16:14+00:00,广东广州南方基地3.1栋203机房,1016453.3216630197
2021-01-25 04:17:36+00:00,广东广州南方基地3.1栋203机房,1042365.2833168806
2021-01-25 04:17:48+00:00,广东广州南方基地3.1栋203机房,982341.0926989336
2021-01-25 04:20:09+00:00,广东广州南方基地3.1栋203机房,1020808.1540740741
2021-01-25 04:25:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 04:26:14+00:00,广东广州南方基地3.1栋203机房,987434.5422740525
2021-01-25 04:27:36+00:00,广东广州南方基地3.1栋203机房,1031563.7050147493
2021-01-25 04:27:48+00:00,广东广州南方基地3.1栋203机房,1001485.4789005033
2021-01-25 04:30:09+00:00,广东广州南方基地3.1栋203机房,1024200.2853707415
2021-01-25 04:35:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 04:36:14+00:00,广东广州南方基地3.1栋203机房,961654.5684210527
2021-01-25 04:37:36+00:00,广东广州南方基地3.1栋203机房,1008161.1466425775
2021-01-25 04:37:48+00:00,广东广州南方基地3.1栋203机房,967592.9791555319
2021-01-25 04:40:09+00:00,广东广州南方基地3.1栋203机房,1026839.5780635003
2021-01-25 04:45:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 04:46:14+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 04:47:36+00:00,广东广州南方基地3.1栋203机房,1041308.2418174817
2021-01-25 04:47:48+00:00,广东广州南方基地3.1栋203机房,998998.9757322175
2021-01-25 04:50:09+00:00,广东广州南方基地3.1栋203机房,1047061.8108303249
2021-01-25 04:55:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 04:56:14+00:00,广东广州南方基地3.1栋203机房,1035586.378470739
2021-01-25 04:57:36+00:00,广东广州南方基地3.1栋203机房,1043253.2791878172
2021-01-25 04:57:48+00:00,广东广州南方基地3.1栋203机房,1029832.8341608739
2021-01-25 05:00:09+00:00,广东广州南方基地3.1栋203机房,1052538.2304993253
2021-01-25 05:05:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 05:06:13+00:00,广东广州南方基地3.1栋203机房,1035865.9878787879
2021-01-25 05:07:36+00:00,广东广州南方基地3.1栋203机房,1045280.663733501
2021-01-25 05:07:48+00:00,广东广州南方基地3.1栋203机房,1017208.3418803419
2021-01-25 05:10:09+00:00,广东广州南方基地3.1栋203机房,1032951.5231788079
2021-01-25 05:15:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 05:16:13+00:00,广东广州南方基地3.1栋203机房,1044094.905982906
2021-01-25 05:17:36+00:00,广东广州南方基地3.1栋203机房,1046054.8336612022
2021-01-25 05:17:48+00:00,广东广州南方基地3.1栋203机房,1044696.6955234924
2021-01-25 05:20:09+00:00,广东广州南方基地3.1栋203机房,1039143.532233883
2021-01-25 05:25:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 05:26:13+00:00,广东广州南方基地3.1栋203机房,1041647.8467129171
2021-01-25 05:27:36+00:00,广东广州南方基地3.1栋203机房,1011095.727348296
2021-01-25 05:27:48+00:00,广东广州南方基地3.1栋203机房,1024473.4943093059
2021-01-25 05:30:09+00:00,广东广州南方基地3.1栋203机房,1004980.9365426695
2021-01-25 05:35:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 05:36:13+00:00,广东广州南方基地3.1栋203机房,1024999.5722511653
2021-01-25 05:37:36+00:00,广东广州南方基地3.1栋203机房,1035977.5822550831
2021-01-25 05:37:48+00:00,广东广州南方基地3.1栋203机房,1043425.2905894519
2021-01-25 05:40:09+00:00,广东广州南方基地3.1栋203机房,1032972.9160660312
2021-01-25 05:45:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 05:46:13+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 05:47:36+00:00,广东广州南方基地3.1栋203机房,1060852.011707317
2021-01-25 05:47:48+00:00,广东广州南方基地3.1栋203机房,1062102.2187324734
2021-01-25 05:50:09+00:00,广东广州南方基地3.1栋203机房,1060262.2573454913
2021-01-25 05:55:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 05:56:13+00:00,广东广州南方基地3.1栋203机房,1071185.734064687
2021-01-25 05:57:36+00:00,广东广州南方基地3.1栋203机房,1079683.7546666667
2021-01-25 05:57:48+00:00,广东广州南方基地3.1栋203机房,1065841.2469813393
2021-01-25 06:00:09+00:00,广东广州南方基地3.1栋203机房,1078019.7101449275
2021-01-25 06:05:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 06:06:13+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 06:07:36+00:00,广东广州南方基地3.1栋203机房,1093210.6443082877
2021-01-25 06:07:48+00:00,广东广州南方基地3.1栋203机房,1069998.5204301076
2021-01-25 06:10:09+00:00,广东广州南方基地3.1栋203机房,1103510.3419371326
2021-01-25 06:15:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 06:16:13+00:00,广东广州南方基地3.1栋203机房,1130044.3107769424
2021-01-25 06:17:36+00:00,广东广州南方基地3.1栋203机房,1130532.587762394
2021-01-25 06:17:48+00:00,广东广州南方基地3.1栋203机房,1112752.3319502075
2021-01-25 06:20:09+00:00,广东广州南方基地3.1栋203机房,1109678.1280460118
2021-01-25 06:25:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 06:26:13+00:00,广东广州南方基地3.1栋203机房,1104817.3120165034
2021-01-25 06:27:36+00:00,广东广州南方基地3.1栋203机房,1116754.2805224305
2021-01-25 06:27:48+00:00,广东广州南方基地3.1栋203机房,1112549.8479001136
2021-01-25 06:30:09+00:00,广东广州南方基地3.1栋203机房,1110613.5471189055
2021-01-25 06:35:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 06:36:13+00:00,广东广州南方基地3.1栋203机房,1119913.9223724378
2021-01-25 06:37:36+00:00,广东广州南方基地3.1栋203机房,1124196.8933912204
2021-01-25 06:37:48+00:00,广东广州南方基地3.1栋203机房,1100877.2360097324
2021-01-25 06:40:09+00:00,广东广州南方基地3.1栋203机房,1136015.7823857302
2021-01-25 06:45:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 06:46:13+00:00,广东广州南方基地3.1栋203机房,1126018.224328594
2021-01-25 06:47:36+00:00,广东广州南方基地3.1栋203机房,1175462.1685263563
2021-01-25 06:47:48+00:00,广东广州南方基地3.1栋203机房,1141498.5886178862
